text,label
"Breaking: Government announces new policy to boost economy","real"
"India launches its first mission to the moon.","real"
"Scientists discover new species of dinosaur in the Amazon.","real"
"Prime Minister announces a new economic policy to boost job growth.","real"
"Climate change is a hoax, says leading scientist.","fake"
"Government unveils a new health insurance scheme for all citizens.","real"
"Researchers find that the earth is flat and not round.","fake"
"SpaceX successfully lands its first reusable rocket on Mars.","fake"
"India's economy grows by 7% in the latest quarter, says RBI report.","real"
"World's largest iceberg has melted due to global warming.","fake"
"World Health Organization declares eradication of polio worldwide.","real"
"Shocking! Celebrity caught in massive scandal!!!","fake"
"Scientific study finds link between diet and mental health","real"
"Secret government project revealed! You won't believe this!","fake"
"Sports team wins championship after historic match","real"
"Politician involved in corruption scandal, sources claim","fake"
Celebrity caught in a shocking scandal!,fake
Government announces new policy to support small businesses.,real
"Economy on the verge of collapse, experts warn.",fake
New environmental laws passed to reduce pollution.,real
Celebrity caught in a shocking scandal!,fake
International summit discusses climate change solutions.,real
"Aliens spotted in remote village, authorities silent.",fake
Stock market shows signs of recovery after economic downturn.,real
Celebrity caught in a shocking scandal!,fake
Government announces new policy to support small businesses.,real
"Aliens spotted in remote village, authorities silent.",fake
International summit discusses climate change solutions.,real
Celebrity caught in a shocking scandal!,fake
Scientists discover new method to improve vaccine efficiency.,real
"New miracle cure for cancer discovered, doctors stunned!",fake
Stock market shows signs of recovery after economic downturn.,real
Celebrity caught in a shocking scandal!,fake
International summit discusses climate change solutions.,real
Celebrity caught in a shocking scandal!,fake
Government announces new policy to support small businesses.,real
"New miracle cure for cancer discovered, doctors stunned!",fake
Stock market shows signs of recovery after economic downturn.,real
Breaking: Government hides crucial information from the public.,fake
Scientists discover new method to improve vaccine efficiency.,real
"New miracle cure for cancer discovered, doctors stunned!",fake
Scientists discover new method to improve vaccine efficiency.,real
Breaking: Government hides crucial information from the public.,fake
Government announces new policy to support small businesses.,real
Celebrity caught in a shocking scandal!,fake
International summit discusses climate change solutions.,real
"New miracle cure for cancer discovered, doctors stunned!",fake
Government announces new policy to support small businesses.,real
Breaking: Government hides crucial information from the public.,fake
Government announces new policy to support small businesses.,real
Celebrity caught in a shocking scandal!,fake
Scientists discover new method to improve vaccine efficiency.,real
"Economy on the verge of collapse, experts warn.",fake
Scientists discover new method to improve vaccine efficiency.,real
Breaking: Government hides crucial information from the public.,fake
Scientists discover new method to improve vaccine efficiency.,real
"New miracle cure for cancer discovered, doctors stunned!",fake
International summit discusses climate change solutions.,real
"New miracle cure for cancer discovered, doctors stunned!",fake
Stock market shows signs of recovery after economic downturn.,real
Breaking: Government hides crucial information from the public.,fake
Government announces new policy to support small businesses.,real
"Economy on the verge of collapse, experts warn.",fake
New environmental laws passed to reduce pollution.,real
"New miracle cure for cancer discovered, doctors stunned!",fake
Stock market shows signs of recovery after economic downturn.,real
"Aliens spotted in remote village, authorities silent.",fake
New environmental laws passed to reduce pollution.,real
"Economy on the verge of collapse, experts warn.",fake
New environmental laws passed to reduce pollution.,real
Breaking: Government hides crucial information from the public.,fake
New environmental laws passed to reduce pollution.,real
"New miracle cure for cancer discovered, doctors stunned!",fake
Government announces new policy to support small businesses.,real
"Economy on the verge of collapse, experts warn.",fake
